;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29608;29608;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO A FISCALIA DE ESTADO INFORME SOBRE CANTIDAD DEABOGADOS QUE FORMAN PARTE DE LA PLANTA PERMANENTE,TEMPORARIOY CONTRATADOS DE DICHO ORGANISMO;CD;R ;PS;09/01/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29609;29609;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO A ASESORIA DE GOBIERNO INFORME SOBRE CANTIDADDE ABOGAGOS QUE FORMAN PARTE DE LA PLANTA PERMANENTE,TEMPORARIOS Y CONTRATADOS DE DICHO ORGANISMO;CD;R ;PA;09/01/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29613;29613;ARMAGNAGUE,FERNANDO;ABDALA RODRIGUEZ CENTENO NIETO D.;SUPRIMIENDO TODA LA PUBLICIDAD OFICIAL BAJO CUALQUIER DENOMINACION QUE FUERE DE LA ADMINIST. PUB., ORGANISMOS CENTRALIZ.Y DESCENTRALIZ.;CD;L ;PA;11/01/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29705;29705;ARMAGNAGUE,FERNANDO;MONTANO MANZITTI  ;CREANDO UNA COMISION INVESTIGADORA SOBRE EL APAGON QUE SE PRODUJO EL DIA 19 DEL CORRIENTE;CD;R ;PA;24/01/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29713;29713;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO A LOS MINIST. DE AMBIENTE Y OP Y DE DESARROLLOSOCIAL Y SALUD INFORMEN SOBRE DIVERSOS PUNTOS RELACIONADOSCON LA TELEFONIA MOVIL;CD;R ;PA;28/01/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29728;29728;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO AL MINIST. DE AMBIENTE Y OP. Y A OSM SA INFORMESOBRE EL CUADRO TARIFARIO DEL SERVICIO DE AGUA CORRIENTE YCLOACA EN LUJAN DE CUYO;CD;R ;PA;29/01/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29796;29796;ARMAGNAGUE,FERNANDO;MANZITTI ABDALA CICCHITTI MOA;DECLARANDO LA NECESIDAD DE LA REFORMA PARCIAL DE LA CONSTITUCION PROVINCIAL;CD;L ;PA;05/02/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29784;29784;ARMAGNAGUE,FERNANDO;MOA   ;SOLICITANDO AL DPTO. GRAL. DE IRRIGACION INFORME SOBRE VARIOPUNTOS REFERIDOS AL CANAL SANTA TERESA DE LOS CORRALITOS;CD;R ;PA;05/02/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29858;29858;ARMAGNAGUE,FERNANDO;NIETO D.   ;PRORROGANDO EL PLAZO ESTIPULADO EN EL ART. 1 LEY 6912 HASTAEL 31-03-02;CD;L ;PA;20/02/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29945;29945;ARMAGNAGUE,FERNANDO;   ;ESTABLECIENDO QUE LAS LETRAS DE TESORERIA DENOMINADA PETROM,SERAN  COTIZABLES EN LA BOLSA DE VALORES DE MENDOZA;CD;L ;PA;12/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29952;29952;ARMAGNAGUE,FERNANDO;   ;APOYANDO LA DETERMINACION DEL PE DE MANTENER LA EMISION DELOS PETROM DISPUESTO POR LEY 6982;CD;R ;PA;12/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29948;29948;ARMAGNAGUE,FERNANDO;MANZITTI   ;AMPLIANDO LA COMPETENCIA MATERIAL Y TERRITORIAL DE LOSTRIBUNALES PENALES DE MENORES;CD;L ;PA;12/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29969;29969;ARMAGNAGUE,FERNANDO;   ;CUESTION PRIVILEGIO RESPECTO DEL SR. JOSE POQUET, DIRIGENTEUNION COMERCIAL E INDUSTRIAL DE MZA. (U.C.I.M.) DE CONFORM.NORMADO ART. 113, INC. 6) REGLAMENTO INTERNO;CD;R ;PA;13/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30004;30004;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO CORTE JUSTICIA INFORME SOBRE SI SE HA DADOCUMPLIMIENTO A LA LEY 18535 DE AREAS DE FRONTERAS, RESPECTOOPERACION DE COMPRA VENTA EN ZONAS LIMITROFES;CD;R ;PA;19/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30003;30003;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO FISCAL ESTADO INFORME SOBRE LA VENTA DE LOSTERRENOS EN MALARGUE A EMPRESARIOS DE ORIGEN MALAYOS;CD;R ;PA;19/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30054;30054;ARMAGNAGUE,FERNANDO;   ;MODIFICANDO ART. 7 LEY 6978 -LEY DE SUELDOS-;CD;L ;PA;26/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30201;30201;ARMAGNAGUE,FERNANDO;   ;MODIFICANDO EL ART. 165, INC. A) DEL DECRETO 867, REGLAMENTARIO DE LA LEY 6982, (ELEVANDO HASTA LOS 5 ANOS EL PERMISO DE VIAJAR GRATIS EN EL SISTEMA PUBLICO DE PASAJEROS);CD;L ;PA;22/04/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30300;30300;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO INFORMES AL PE SOBRE LA SITUACION DE LOS ABOGADOQUE TIENEN A SU CARGO LAS DEFENSAS DE LOS PROCESOS JUDICIALEEN DONDE SE ENCUENTRAN COMPROMETIDOS INTERESES PCIALES.;CD;R ;PA;07/05/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30349;30349;ARMAGNAGUE,FERNANDO;   ;SOLICITANDO EPRE INFORME SOBRE VARIIOS PUNTOS REFERIDOS ACORTES DE LUZ OCURRIDOS EL 13-05-02;CD;R ;PA;14/05/2002
