;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27730;27730;AHUMADA,ARTURO;   ;REITERANDO AL PE EL PEDIDO DE INFORMES APROBADO POR RESOLUCION NRO. 227/00;CD;R ;PJ;26/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27750;27750;AHUMADA,ARTURO;SERRALTA, CORTIZO DARIENZO ;ENCOMENDANDO COMISION BICAMERAL REORDENAMIENTO SANITARIO YTRANSF. SECTOR ELECTRICO SE CONSTITUYAN PARA ELABORARMEJORAS DEL FUNCIONAMIENTO DEL EPRE Y EPAS;CD;R ;PJ;27/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27755;27755;AHUMADA,ARTURO;   ;SOLICITANDO PE INFORME SOBRE OBRAS EN EJECUCION A TRAVES DELFONDO DE INFRAESTRUCTURA PROVINCIAL (FIT);CD;R ;PJ;28/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27776;27776;AHUMADA,ARTURO;ABRILE   ;MODIFICANDO ART. 2 LEY 5890, MODIFICADA POR LEY 5914(CREACION COMISION BICAMERAL DE EDUCACION);CD;L ;PJ;06/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27787;27787;AHUMADA,ARTURO;   ;SOLICITANDO MIN.AMB.O.P. INFORME SOBRE LICITACION PRIVADAPARA LA CONSTRUCCION DE PABELLONES MODULARES EN LAPENITENCIARIA PROVINCIAL;CD;R ;PJ;06/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27811;27811;AHUMADA,ARTURO;   ;SOLICITANDO EPRE GESTIONE ANTE EDEMSA EL REGULAR SUMINISTRODE ENERGIA ELECTRICA A LAS INDUSTRIAS UBICADAS EN RUTA 34,EN JOCOLI VIEJO, DEPTO. LAVALLE;CD;R ;PJ;12/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27830;27830;AHUMADA,ARTURO;   ;EXPRESANDO AGRADECIMIENTO AL PE Y JEFE POLICIA DE CORDOBAPOR EL ESFUERZO REALIZADO EN LA BUSQUEDA Y POSTERIORHALLAZGO DEL CUERPO DE MARIO DAY;CD;R ;PJ;13/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27834;27834;AHUMADA,ARTURO;   ;SOLICITANDO AL PE INFORME SOBRE EL RECLAMO HECHO POR EL GOB.DE LA PCIA. AL MINIST. DE ECONOMIA DE LA NACION EN CONCEPTODE LA DEUDA QUE MANTENIA LA EMPRESA AGUA Y ENERGIA POR ING.B;CD;R ;PJ;14/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27902;27902;AHUMADA,ARTURO;   ;SOLICITANDO AL MINIST. DE DES. SOCIAL Y SALUD INFORME SOBBRE EL PROGRAMA PCIAL. DE PREVENCION, ASISTENCIA Y TRATAMIENTODE PERSONAS DIABETICAS;CD;R ;PJ;26/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27927;27927;AHUMADA,ARTURO;   ;INVITANDO AL MINIST. DE GOBIERNO A FIN DE INFORMAR SOBRE OPERATIVO DE ENTREGA GRATUITA DEL DOCUM. NAC. DE IDENTIDAD YLOS INCIDENTES PRODUCIDOS EN LAS HERAS;CD;R ;PJ;29/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27933;27933;AHUMADA,ARTURO;   ;QUE PE. INFORME SI LA AUTORIDAD DE APLICACION DE LA ELY 6045HA DADO CUMPLIMIENTO A LO ESTABLECIDO EN SU ART. 67,RESPECTO DE LA MUNICIPALIDAD LAS HERAS;CD;R ;PJ;03/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27934;27934;AHUMADA,ARTURO;   ;QUE PE INFORME SOBRE EL CONTRATO SUSCRIPTO ENTRE EL PODEREJECUTIVO Y LA PRESTADORA DEL SERVICIO DE RESCATE AANDINISTA EN EL PAQUE ACONCAGUA;CD;R ;PJ;03/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28021;28021;AHUMADA,ARTURO;   ;SOLICITANDO D.G.E. INFORME LOS MOTIVOS POR LOS CUALES ELCENTRO DE EDUCACION BASICA DE ADULTOS NRO. 3-083, NOFUNCIONARA EN EL ACTUAL CICLO LECTIVO;CD;R ;PJ;17/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28020;28020;AHUMADA,ARTURO;   ;FELICITANDO A LA AUTORIDAD DEL CANAL 6 TELESUR, CON MOTIVODE CUMPLIR SU 37 ANIVERSARIO DE LABOR PERIODISTICA, CULTURALDEPORTIVA Y SOCIAL AL SERVICIO DE LA COMUNIDAD MENDOCINA;CD;R ;PJ;17/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28056;28056;AHUMADA,ARTURO;   ;ESTABLECIENDO QUE TERRENOS PERTENECIENTES A COOPERATIVASY/O ENTIDADES SOCIALES, UBICADO SOBRE UNA LINEA IMAGINARIA,DEL DISTRITO EL CHALLAO, LE SEAN APLICADO ZONA RESIDENCIAL;CD;L ;PJ;24/04/2001
